year,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m,year.sum,rank,total_ems
1990,0,0,0,0,0,0.2,5.2,10.8,0.2,0,0,0,16.4,5,292.1
1991,0,0,0,0,0.1,0.3,1,2.2,0.1,0,0,0,3.7,29,315.3
1992,0,0,0,0,0,0.1,4.7,1,0.1,0,0,0,6,26,343.3
1993,0,0,0,0,0,0,0,0,0,0,0,0,0.1,33,378.5
1994,0,0,0,0,0,0.9,17.7,9.8,1.2,0,0,0,29.6,2,403.5
1995,0,0,0,0,0,0,2.7,7.7,0,0,0,0,10.4,19,433.8
1996,0,0,0,0,0,0.2,5.2,10.3,0,0,0,0,15.7,6,470.2
1997,0,0,0,0,0,1.5,5.6,3.9,0.9,0,0,0,11.9,13,501.9
1998,0,0,0,0,0,0,0.6,1,0.7,0,0,0,2.5,31,431.4
1999,0,0,0,0,0,0.9,1.1,3.1,0,0,0,0,5.2,28,469.4
2000,0,0,0,0,0.5,1.6,4.7,4.3,0.1,0,0,0,11.1,17,502.7
2001,0,0,0,0,0.1,1.1,4.7,5.7,0,0,0,0,11.6,15,516
2002,0,0,0,0,0,0.6,2.9,1.7,0.2,0,0,0,5.4,27,538.4
2003,0,0,0,0,0,0,0,1.1,0.1,0,0,0,1.3,32,548.8
2004,0,0,0,0,0.1,0.8,6.2,7.8,0,0,0,0,14.8,7,557
2005,0,0,0,0.1,0,1.3,3.9,3.9,0.6,0,0,0,9.7,20,561.5
2006,0,0,0,0,0,0.2,1.4,11.9,0,0,0,0,13.5,9,567
2007,0,0,0,0,0,0.6,1.6,6.5,0.1,0,0,0,8.9,22,580.3
2008,0,0,0,0,0.1,0.1,6.3,4.3,0.4,0,0,0,11.2,16,594
2009,0,0,0,0,0.1,1.3,0.3,1.9,0.1,0,0,0,3.6,30,598
2010,0,0,0,0,0,0.6,2.9,7.5,1.3,0,0,0,12.2,12,656
2011,0,0,0,0,0,0.7,2.3,2.5,0.8,0,0,0,6.5,25,684.7
2012,0,0,0,0,0,0.3,5.6,8.1,0,0,0,0,14,8,688
2013,0,0,0,0,0.2,0.3,4,12.1,0,0,0,0,16.6,4,697.3
2014,0,0,0,0,1.1,0.2,4.5,0.9,0,0,0,0,6.6,24,692.1
2015,0,0,0,0,0.4,0.5,3.1,5.7,0,0,0,0,9.6,21,692.6
2016,0,0,0,0,0,0.1,5.1,16.6,0,0,0,0,22,3,693.6
2017,0,0,0,0,0.4,1.7,5.9,5.6,0,0,0,0,13.5,9,710.7
2018,0,0,0,0,0,1.5,15.4,14.1,0,0,0,0,31,1,727
2019,0,0,0,0,0.5,0.5,3,9,0,0,0,0,13.1,11,701.4
2020,0,0,0,0,0,1.9,0.1,5.7,0,0,0,0,7.7,23,
2021,0,0,0,0,0,0.1,8.1,3.5,0,0,0,0,11.8,14,
2022,0,0,0,0,0.2,1.6,5.8,2.9,0.2,0,0,0,10.6,18,
